  row 17: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 21: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 16: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 22: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 20: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 41: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 23: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 18: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - APIConnectionError: Connection error.
  row 43: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 44: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 45: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 63: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 62: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 64: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 68: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 65: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 69: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 67: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 70: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 71: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 72: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 73: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 74: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 66: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 93: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 95: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 83: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
  row 82: gemini-3.5-flash-lite exhausted, falling through - gemini-3.5-flash-lite - RateLimitError: Error code: 429 - [{'error': {'code': 429, 'message': 'You e
